Election Year,County,Race,Gender,Voted,Registered
11/1/2014,BANKS,WHITE,MALE,1913,4240
11/1/2014,BANKS,WHITE,FEMALE,1897,4610
11/1/2014,BANKS,WHITE,UNKNOWN,0,1
11/1/2014,BANKS,ASIA-PI,MALE,6,34
11/1/2014,BANKS,ASIA-PI,FEMALE,7,29
11/1/2014,BANKS,ASIA-PI,UNKNOWN,0,0
11/1/2014,BANKS,HISP-LT,MALE,5,58
11/1/2014,BANKS,HISP-LT,FEMALE,8,51
11/1/2014,BANKS,HISP-LT,UNKNOWN,0,0
11/1/2014,BANKS,NATIVE-AM,MALE,0,2
11/1/2014,BANKS,NATIVE-AM,FEMALE,0,5
11/1/2014,BANKS,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BANKS,OTHER,MALE,7,15
11/1/2014,BANKS,OTHER,FEMALE,4,12
11/1/2014,BANKS,OTHER,UNKNOWN,0,0
11/1/2014,BANKS,UNKNOWN,MALE,34,171
11/1/2014,BANKS,UNKNOWN,FEMALE,36,155
11/1/2014,BANKS,UNKNOWN,UNKNOWN,0,0
11/1/2014,BARROW,BLACK,MALE,641,1900
11/1/2014,BARROW,BLACK,FEMALE,1106,2566
11/1/2014,BARROW,BLACK,UNKNOWN,3,8
11/1/2014,BARROW,WHITE,MALE,6469,14509
11/1/2014,BARROW,WHITE,FEMALE,7133,16639
11/1/2014,BARROW,WHITE,UNKNOWN,8,21
11/1/2014,BARROW,ASIA-PI,MALE,39,314
11/1/2014,BARROW,ASIA-PI,FEMALE,42,354
11/1/2014,BARROW,ASIA-PI,UNKNOWN,0,0
11/1/2014,BARROW,HISP-LT,MALE,106,533
11/1/2014,BARROW,HISP-LT,FEMALE,114,585
11/1/2014,BARROW,HISP-LT,UNKNOWN,1,5
11/1/2014,BARROW,NATIVE-AM,MALE,1,5
11/1/2014,BARROW,NATIVE-AM,FEMALE,2,9
11/1/2014,BARROW,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BARROW,OTHER,MALE,25,121
11/1/2014,BARROW,OTHER,FEMALE,28,131
11/1/2014,BARROW,OTHER,UNKNOWN,1,1
11/1/2014,BARROW,UNKNOWN,MALE,321,1407
11/1/2014,BARROW,UNKNOWN,FEMALE,332,1319
11/1/2014,BARROW,UNKNOWN,UNKNOWN,3,13
11/1/2014,BARTOW,BLACK,MALE,730,2446
11/1/2014,BARTOW,BLACK,FEMALE,1252,3219
11/1/2014,BARTOW,BLACK,UNKNOWN,0,1
11/1/2014,BARTOW,WHITE,MALE,9717,22189
11/1/2014,BARTOW,WHITE,FEMALE,10032,24706
11/1/2014,BARTOW,WHITE,UNKNOWN,2,6
11/1/2014,BARTOW,ASIA-PI,MALE,25,136
11/1/2014,BARTOW,ASIA-PI,FEMALE,34,141
11/1/2014,BARTOW,ASIA-PI,UNKNOWN,0,1
11/1/2014,BARTOW,HISP-LT,MALE,85,551
11/1/2014,BARTOW,HISP-LT,FEMALE,75,553
11/1/2014,BARTOW,HISP-LT,UNKNOWN,0,0
11/1/2014,BARTOW,NATIVE-AM,MALE,6,17
11/1/2014,BARTOW,NATIVE-AM,FEMALE,4,23
11/1/2014,BARTOW,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BARTOW,OTHER,MALE,30,154
11/1/2014,BARTOW,OTHER,FEMALE,38,156
11/1/2014,BARTOW,OTHER,UNKNOWN,0,0
11/1/2014,BARTOW,UNKNOWN,MALE,539,2488
11/1/2014,BARTOW,UNKNOWN,FEMALE,593,2307
11/1/2014,BARTOW,UNKNOWN,UNKNOWN,1,5
11/1/2014,BEN HILL,BLACK,MALE,342,1266
11/1/2014,BEN HILL,BLACK,FEMALE,749,1983
11/1/2014,BEN HILL,BLACK,UNKNOWN,0,0
11/1/2014,BEN HILL,WHITE,MALE,1176,2607
11/1/2014,BEN HILL,WHITE,FEMALE,1244,3030
11/1/2014,BEN HILL,WHITE,UNKNOWN,0,1
11/1/2014,BEN HILL,ASIA-PI,MALE,0,14
11/1/2014,BEN HILL,ASIA-PI,FEMALE,6,18
11/1/2014,BEN HILL,ASIA-PI,UNKNOWN,0,0
11/1/2014,BEN HILL,HISP-LT,MALE,3,48
11/1/2014,BEN HILL,HISP-LT,FEMALE,6,62
11/1/2014,BEN HILL,HISP-LT,UNKNOWN,0,0
11/1/2014,BEN HILL,NATIVE-AM,MALE,0,0
11/1/2014,BEN HILL,NATIVE-AM,FEMALE,0,1
11/1/2014,BEN HILL,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BEN HILL,OTHER,MALE,2,11
11/1/2014,BEN HILL,OTHER,FEMALE,4,15
11/1/2014,BEN HILL,OTHER,UNKNOWN,0,0
11/1/2014,BEN HILL,UNKNOWN,MALE,12,79
11/1/2014,BEN HILL,UNKNOWN,FEMALE,22,81
11/1/2014,BEN HILL,UNKNOWN,UNKNOWN,0,0
11/1/2014,BERRIEN,BLACK,MALE,132,449
11/1/2014,BERRIEN,BLACK,FEMALE,247,621
11/1/2014,BERRIEN,BLACK,UNKNOWN,0,0
11/1/2014,BERRIEN,WHITE,MALE,1770,4034
11/1/2014,BERRIEN,WHITE,FEMALE,1771,4606
11/1/2014,BERRIEN,WHITE,UNKNOWN,0,1
11/1/2014,BERRIEN,ASIA-PI,MALE,1,15
11/1/2014,BERRIEN,ASIA-PI,FEMALE,3,10
11/1/2014,BERRIEN,ASIA-PI,UNKNOWN,0,0
11/1/2014,BERRIEN,HISP-LT,MALE,6,40
11/1/2014,BERRIEN,HISP-LT,FEMALE,9,49
11/1/2014,BERRIEN,HISP-LT,UNKNOWN,0,0
11/1/2014,BERRIEN,NATIVE-AM,MALE,0,2
11/1/2014,BERRIEN,NATIVE-AM,FEMALE,2,6
11/1/2014,BERRIEN,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BERRIEN,OTHER,MALE,4,23
11/1/2014,BERRIEN,OTHER,FEMALE,3,13
11/1/2014,BERRIEN,OTHER,UNKNOWN,0,0
11/1/2014,BERRIEN,UNKNOWN,MALE,31,164
11/1/2014,BERRIEN,UNKNOWN,FEMALE,29,158
11/1/2014,BERRIEN,UNKNOWN,UNKNOWN,0,1
11/1/2014,BIBB,BLACK,MALE,7214,19416
11/1/2014,BIBB,BLACK,FEMALE,13295,28681
11/1/2014,BIBB,BLACK,UNKNOWN,0,8
11/1/2014,BIBB,WHITE,MALE,10144,18697
11/1/2014,BIBB,WHITE,FEMALE,11470,22273
11/1/2014,BIBB,WHITE,UNKNOWN,1,2
11/1/2014,BIBB,ASIA-PI,MALE,88,355
11/1/2014,BIBB,ASIA-PI,FEMALE,82,365
11/1/2014,BIBB,ASIA-PI,UNKNOWN,0,0
11/1/2014,BIBB,HISP-LT,MALE,50,238
11/1/2014,BIBB,HISP-LT,FEMALE,77,323
11/1/2014,BIBB,HISP-LT,UNKNOWN,0,3
11/1/2014,BIBB,NATIVE-AM,MALE,10,19
11/1/2014,BIBB,NATIVE-AM,FEMALE,5,24
11/1/2014,BIBB,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BIBB,OTHER,MALE,56,255
11/1/2014,BIBB,OTHER,FEMALE,86,311
11/1/2014,BIBB,OTHER,UNKNOWN,0,0
11/1/2014,BIBB,UNKNOWN,MALE,374,1585
11/1/2014,BIBB,UNKNOWN,FEMALE,435,1543
11/1/2014,BIBB,UNKNOWN,UNKNOWN,1,11
11/1/2014,BLECKLEY,BLACK,MALE,164,520
11/1/2014,BLECKLEY,BLACK,FEMALE,394,843
11/1/2014,BLECKLEY,BLACK,UNKNOWN,0,0
11/1/2014,BLECKLEY,WHITE,MALE,1335,2425
11/1/2014,BLECKLEY,WHITE,FEMALE,1357,2693
11/1/2014,BLECKLEY,WHITE,UNKNOWN,0,0
11/1/2014,BLECKLEY,ASIA-PI,MALE,2,18
11/1/2014,BLECKLEY,ASIA-PI,FEMALE,3,10
11/1/2014,BLECKLEY,ASIA-PI,UNKNOWN,0,0
11/1/2014,BLECKLEY,HISP-LT,MALE,1,11
11/1/2014,BLECKLEY,HISP-LT,FEMALE,7,17
11/1/2014,BLECKLEY,HISP-LT,UNKNOWN,0,0
11/1/2014,BLECKLEY,NATIVE-AM,MALE,0,0
11/1/2014,BLECKLEY,NATIVE-AM,FEMALE,0,0
11/1/2014,BLECKLEY,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BLECKLEY,OTHER,MALE,2,5
11/1/2014,BLECKLEY,OTHER,FEMALE,5,10
11/1/2014,BLECKLEY,OTHER,UNKNOWN,0,0
11/1/2014,BLECKLEY,UNKNOWN,MALE,23,74
11/1/2014,BLECKLEY,UNKNOWN,FEMALE,25,84
11/1/2014,BLECKLEY,UNKNOWN,UNKNOWN,0,0
11/1/2014,BRANTLEY,BLACK,MALE,26,112
11/1/2014,BRANTLEY,BLACK,FEMALE,46,169
11/1/2014,BRANTLEY,BLACK,UNKNOWN,0,0
11/1/2014,BRANTLEY,WHITE,MALE,1452,4234
11/1/2014,BRANTLEY,WHITE,FEMALE,1524,4770
11/1/2014,BRANTLEY,WHITE,UNKNOWN,0,0
11/1/2014,BRANTLEY,ASIA-PI,MALE,1,3
11/1/2014,BRANTLEY,ASIA-PI,FEMALE,1,6
11/1/2014,BRANTLEY,ASIA-PI,UNKNOWN,0,0
11/1/2014,BRANTLEY,HISP-LT,MALE,1,14
11/1/2014,BRANTLEY,HISP-LT,FEMALE,1,19
11/1/2014,BRANTLEY,HISP-LT,UNKNOWN,0,0
11/1/2014,BRANTLEY,NATIVE-AM,MALE,0,1
11/1/2014,BRANTLEY,NATIVE-AM,FEMALE,0,3
11/1/2014,BRANTLEY,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BRANTLEY,OTHER,MALE,1,13
11/1/2014,BRANTLEY,OTHER,FEMALE,0,13
11/1/2014,BRANTLEY,OTHER,UNKNOWN,0,0
11/1/2014,BRANTLEY,UNKNOWN,MALE,25,186
11/1/2014,BRANTLEY,UNKNOWN,FEMALE,13,153
11/1/2014,BRANTLEY,UNKNOWN,UNKNOWN,0,0
11/1/2014,BROOKS,BLACK,MALE,642,1548
11/1/2014,BROOKS,BLACK,FEMALE,1011,2077
11/1/2014,BROOKS,BLACK,UNKNOWN,0,1
11/1/2014,BROOKS,WHITE,MALE,1388,2608
11/1/2014,BROOKS,WHITE,FEMALE,1515,2974
11/1/2014,BROOKS,WHITE,UNKNOWN,0,0
11/1/2014,BROOKS,ASIA-PI,MALE,1,9
11/1/2014,BROOKS,ASIA-PI,FEMALE,4,13
11/1/2014,BROOKS,ASIA-PI,UNKNOWN,0,0
11/1/2014,BROOKS,HISP-LT,MALE,5,33
11/1/2014,BROOKS,HISP-LT,FEMALE,13,50
11/1/2014,BROOKS,HISP-LT,UNKNOWN,0,0
11/1/2014,BROOKS,NATIVE-AM,MALE,2,6
11/1/2014,BROOKS,NATIVE-AM,FEMALE,0,1
11/1/2014,BROOKS,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BROOKS,OTHER,MALE,9,28
11/1/2014,BROOKS,OTHER,FEMALE,5,27
11/1/2014,BROOKS,OTHER,UNKNOWN,0,0
11/1/2014,BROOKS,UNKNOWN,MALE,90,249
11/1/2014,BROOKS,UNKNOWN,FEMALE,82,225
11/1/2014,BROOKS,UNKNOWN,UNKNOWN,0,0
11/1/2014,BRYAN,BLACK,MALE,443,1331
11/1/2014,BRYAN,BLACK,FEMALE,634,1750
11/1/2014,BRYAN,BLACK,UNKNOWN,0,2
11/1/2014,BRYAN,WHITE,MALE,3172,7806
11/1/2014,BRYAN,WHITE,FEMALE,3256,8964
11/1/2014,BRYAN,WHITE,UNKNOWN,0,1
11/1/2014,BRYAN,ASIA-PI,MALE,20,99
11/1/2014,BRYAN,ASIA-PI,FEMALE,23,126
11/1/2014,BRYAN,ASIA-PI,UNKNOWN,0,0
11/1/2014,BRYAN,HISP-LT,MALE,37,193
11/1/2014,BRYAN,HISP-LT,FEMALE,44,253
11/1/2014,BRYAN,HISP-LT,UNKNOWN,0,0
11/1/2014,BRYAN,NATIVE-AM,MALE,3,12
11/1/2014,BRYAN,NATIVE-AM,FEMALE,0,8
11/1/2014,BRYAN,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BRYAN,OTHER,MALE,16,74
11/1/2014,BRYAN,OTHER,FEMALE,29,119
11/1/2014,BRYAN,OTHER,UNKNOWN,0,0
11/1/2014,BRYAN,UNKNOWN,MALE,217,906
11/1/2014,BRYAN,UNKNOWN,FEMALE,220,872
11/1/2014,BRYAN,UNKNOWN,UNKNOWN,2,7
11/1/2014,BULLOCH,BLACK,MALE,1014,4355
11/1/2014,BULLOCH,BLACK,FEMALE,1868,6123
11/1/2014,BULLOCH,BLACK,UNKNOWN,0,0
11/1/2014,BULLOCH,WHITE,MALE,5119,12157
11/1/2014,BULLOCH,WHITE,FEMALE,5466,13287
11/1/2014,BULLOCH,WHITE,UNKNOWN,0,2
11/1/2014,BULLOCH,ASIA-PI,MALE,14,108
11/1/2014,BULLOCH,ASIA-PI,FEMALE,21,102
11/1/2014,BULLOCH,ASIA-PI,UNKNOWN,0,0
11/1/2014,BULLOCH,HISP-LT,MALE,23,141
11/1/2014,BULLOCH,HISP-LT,FEMALE,23,160
11/1/2014,BULLOCH,HISP-LT,UNKNOWN,1,1
11/1/2014,BULLOCH,NATIVE-AM,MALE,2,3
11/1/2014,BULLOCH,NATIVE-AM,FEMALE,2,11
11/1/2014,BULLOCH,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BULLOCH,OTHER,MALE,17,118
11/1/2014,BULLOCH,OTHER,FEMALE,22,152
11/1/2014,BULLOCH,OTHER,UNKNOWN,0,0
11/1/2014,BULLOCH,UNKNOWN,MALE,287,1356
11/1/2014,BULLOCH,UNKNOWN,FEMALE,274,1259
11/1/2014,BULLOCH,UNKNOWN,UNKNOWN,0,0
11/1/2014,BURKE,BLACK,MALE,1031,2885
11/1/2014,BURKE,BLACK,FEMALE,1767,4037
11/1/2014,BURKE,BLACK,UNKNOWN,0,1
11/1/2014,BURKE,WHITE,MALE,1565,3246
11/1/2014,BURKE,WHITE,FEMALE,1593,3506
11/1/2014,BURKE,WHITE,UNKNOWN,0,1
11/1/2014,BURKE,ASIA-PI,MALE,3,14
11/1/2014,BURKE,ASIA-PI,FEMALE,4,23
11/1/2014,BURKE,ASIA-PI,UNKNOWN,0,0
11/1/2014,BURKE,HISP-LT,MALE,9,38
11/1/2014,BURKE,HISP-LT,FEMALE,8,34
11/1/2014,BURKE,HISP-LT,UNKNOWN,0,0
11/1/2014,BURKE,NATIVE-AM,MALE,0,4
11/1/2014,BURKE,NATIVE-AM,FEMALE,0,1
11/1/2014,BURKE,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BURKE,OTHER,MALE,3,19
11/1/2014,BURKE,OTHER,FEMALE,8,32
11/1/2014,BURKE,OTHER,UNKNOWN,0,0
11/1/2014,BURKE,UNKNOWN,MALE,54,265
11/1/2014,BURKE,UNKNOWN,FEMALE,47,223
11/1/2014,BURKE,UNKNOWN,UNKNOWN,1,1
11/1/2014,BUTTS,BLACK,MALE,501,1346
11/1/2014,BUTTS,BLACK,FEMALE,833,1733
11/1/2014,BUTTS,BLACK,UNKNOWN,0,1
11/1/2014,BUTTS,WHITE,MALE,2193,4408
11/1/2014,BUTTS,WHITE,FEMALE,2286,4828
11/1/2014,BUTTS,WHITE,UNKNOWN,1,4
11/1/2014,BUTTS,ASIA-PI,MALE,1,7
11/1/2014,BUTTS,ASIA-PI,FEMALE,9,20
11/1/2014,BUTTS,ASIA-PI,UNKNOWN,0,0
11/1/2014,BUTTS,HISP-LT,MALE,14,46
11/1/2014,BUTTS,HISP-LT,FEMALE,14,51
11/1/2014,BUTTS,HISP-LT,UNKNOWN,0,0
11/1/2014,BUTTS,NATIVE-AM,MALE,1,3
11/1/2014,BUTTS,NATIVE-AM,FEMALE,0,2
11/1/2014,BUTTS,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BUTTS,OTHER,MALE,9,45
11/1/2014,BUTTS,OTHER,FEMALE,8,42
11/1/2014,BUTTS,OTHER,UNKNOWN,0,0
11/1/2014,BUTTS,UNKNOWN,MALE,154,540
11/1/2014,BUTTS,UNKNOWN,FEMALE,203,497
11/1/2014,BUTTS,UNKNOWN,UNKNOWN,1,4
11/1/2014,CALHOUN,BLACK,MALE,304,723
11/1/2014,CALHOUN,BLACK,FEMALE,493,1029
11/1/2014,CALHOUN,BLACK,UNKNOWN,0,0
11/1/2014,CALHOUN,WHITE,MALE,330,546
11/1/2014,CALHOUN,WHITE,FEMALE,358,614
11/1/2014,CALHOUN,WHITE,UNKNOWN,0,0
11/1/2014,CALHOUN,ASIA-PI,MALE,5,5
11/1/2014,CALHOUN,ASIA-PI,FEMALE,0,9
11/1/2014,CALHOUN,ASIA-PI,UNKNOWN,0,0
11/1/2014,CALHOUN,HISP-LT,MALE,1,7
11/1/2014,CALHOUN,HISP-LT,FEMALE,2,5
11/1/2014,CALHOUN,HISP-LT,UNKNOWN,0,0
11/1/2014,CALHOUN,NATIVE-AM,MALE,0,0
11/1/2014,CALHOUN,NATIVE-AM,FEMALE,0,0
11/1/2014,CALHOUN,NATIVE-AM,UNKNOWN,0,0
11/1/2014,CALHOUN,OTHER,MALE,0,0
11/1/2014,CALHOUN,OTHER,FEMALE,1,2
11/1/2014,CALHOUN,OTHER,UNKNOWN,0,0
11/1/2014,CALHOUN,UNKNOWN,MALE,8,23
11/1/2014,CALHOUN,UNKNOWN,FEMALE,5,15
11/1/2014,CALHOUN,UNKNOWN,UNKNOWN,0,1
11/1/2014,CAMDEN,BLACK,MALE,653,2354
11/1/2014,CAMDEN,BLACK,FEMALE,987,3190
11/1/2014,CAMDEN,BLACK,UNKNOWN,0,0
11/1/2014,CAMDEN,WHITE,MALE,3564,9038
11/1/2014,CAMDEN,WHITE,FEMALE,3534,10841
11/1/2014,CAMDEN,WHITE,UNKNOWN,0,2
11/1/2014,CAMDEN,ASIA-PI,MALE,16,87
11/1/2014,CAMDEN,ASIA-PI,FEMALE,37,171
11/1/2014,CAMDEN,ASIA-PI,UNKNOWN,0,0
11/1/2014,CAMDEN,HISP-LT,MALE,42,227
11/1/2014,CAMDEN,HISP-LT,FEMALE,50,326
11/1/2014,CAMDEN,HISP-LT,UNKNOWN,0,0
11/1/2014,CAMDEN,NATIVE-AM,MALE,3,12
11/1/2014,CAMDEN,NATIVE-AM,FEMALE,1,13
11/1/2014,CAMDEN,NATIVE-AM,UNKNOWN,0,0
11/1/2014,CAMDEN,OTHER,MALE,26,151
11/1/2014,CAMDEN,OTHER,FEMALE,38,224
11/1/2014,CAMDEN,OTHER,UNKNOWN,0,0
11/1/2014,CAMDEN,UNKNOWN,MALE,507,2232
11/1/2014,CAMDEN,UNKNOWN,FEMALE,480,2384
11/1/2014,CAMDEN,UNKNOWN,UNKNOWN,0,0
11/1/2014,CANDLER,BLACK,MALE,183,542
11/1/2014,CANDLER,BLACK,FEMALE,277,731
11/1/2014,CANDLER,BLACK,UNKNOWN,0,0
11/1/2014,CANDLER,WHITE,MALE,854,1674
11/1/2014,CANDLER,WHITE,FEMALE,855,1975
11/1/2014,CANDLER,WHITE,UNKNOWN,1,1
11/1/2014,CANDLER,ASIA-PI,MALE,2,7
11/1/2014,CANDLER,ASIA-PI,FEMALE,3,10
11/1/2014,CANDLER,ASIA-PI,UNKNOWN,0,0
11/1/2014,CANDLER,HISP-LT,MALE,5,41
11/1/2014,CANDLER,HISP-LT,FEMALE,7,56
11/1/2014,CANDLER,HISP-LT,UNKNOWN,0,0
11/1/2014,CANDLER,NATIVE-AM,MALE,0,0
11/1/2014,CANDLER,NATIVE-AM,FEMALE,0,0
11/1/2014,CANDLER,NATIVE-AM,UNKNOWN,0,0
11/1/2014,CANDLER,OTHER,MALE,0,11
11/1/2014,CANDLER,OTHER,FEMALE,1,11
11/1/2014,CANDLER,OTHER,UNKNOWN,0,0
11/1/2014,CANDLER,UNKNOWN,MALE,38,153
11/1/2014,CANDLER,UNKNOWN,FEMALE,30,140
11/1/2014,CANDLER,UNKNOWN,UNKNOWN,0,1
11/1/2014,CARROLL,BLACK,MALE,1425,4720
11/1/2014,CARROLL,BLACK,FEMALE,2479,6589
11/1/2014,CARROLL,BLACK,UNKNOWN,0,3
11/1/2014,CARROLL,WHITE,MALE,10031,21857
11/1/2014,CARROLL,WHITE,FEMALE,10870,25036
11/1/2014,CARROLL,WHITE,UNKNOWN,0,5
11/1/2014,CARROLL,ASIA-PI,MALE,20,124
11/1/2014,CARROLL,ASIA-PI,FEMALE,32,156
11/1/2014,CARROLL,ASIA-PI,UNKNOWN,0,0
11/1/2014,CARROLL,HISP-LT,MALE,66,380
11/1/2014,CARROLL,HISP-LT,FEMALE,67,407
11/1/2014,CARROLL,HISP-LT,UNKNOWN,0,0
11/1/2014,CARROLL,NATIVE-AM,MALE,3,8
11/1/2014,CARROLL,NATIVE-AM,FEMALE,3,16
11/1/2014,CARROLL,NATIVE-AM,UNKNOWN,0,0
11/1/2014,CARROLL,OTHER,MALE,57,239
11/1/2014,CARROLL,OTHER,FEMALE,64,293
11/1/2014,CARROLL,OTHER,UNKNOWN,0,0
11/1/2014,CARROLL,UNKNOWN,MALE,700,2605
11/1/2014,CARROLL,UNKNOWN,FEMALE,736,2595
11/1/2014,CARROLL,UNKNOWN,UNKNOWN,0,13
11/1/2014,CATOOSA,BLACK,MALE,79,337
